"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-07","Jul-1982","IDX","Index","0","units","2010_100","2010=100",21.06462,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-08","Aug-1982","IDX","Index","0","units","2010_100","2010=100",21.16411,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-09","Sep-1982","IDX","Index","0","units","2010_100","2010=100",21.31331,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-10","Oct-1982","IDX","Index","0","units","2010_100","2010=100",21.50882,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-11","Nov-1982","IDX","Index","0","units","2010_100","2010=100",21.66595,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1982-12","Dec-1982","IDX","Index","0","units","2010_100","2010=100",21.82645,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-01","Jan-1983","IDX","Index","0","units","2010_100","2010=100",22.05238,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-02","Feb-1983","IDX","Index","0","units","2010_100","2010=100",22.19492,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-03","Mar-1983","IDX","Index","0","units","2010_100","2010=100",22.33886,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-04","Apr-1983","IDX","Index","0","units","2010_100","2010=100",22.54713,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-05","May-1983","IDX","Index","0","units","2010_100","2010=100",22.66039,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-06","Jun-1983","IDX","Index","0","units","2010_100","2010=100",22.7802,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-07","Jul-1983","IDX","Index","0","units","2010_100","2010=100",22.91871,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-08","Aug-1983","IDX","Index","0","units","2010_100","2010=100",23.06965,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-09","Sep-1983","IDX","Index","0","units","2010_100","2010=100",23.27411,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-10","Oct-1983","IDX","Index","0","units","2010_100","2010=100",23.49809,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-11","Nov-1983","IDX","Index","0","units","2010_100","2010=100",23.68158,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1983-12","Dec-1983","IDX","Index","0","units","2010_100","2010=100",23.85278,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-01","Jan-1984","IDX","Index","0","units","2010_100","2010=100",24.06247,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-02","Feb-1984","IDX","Index","0","units","2010_100","2010=100",24.21291,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-03","Mar-1984","IDX","Index","0","units","2010_100","2010=100",24.39015,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-04","Apr-1984","IDX","Index","0","units","2010_100","2010=100",24.61794,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-05","May-1984","IDX","Index","0","units","2010_100","2010=100",24.76964,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-06","Jun-1984","IDX","Index","0","units","2010_100","2010=100",24.97867,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-07","Jul-1984","IDX","Index","0","units","2010_100","2010=100",25.05905,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-08","Aug-1984","IDX","Index","0","units","2010_100","2010=100",25.1908,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-09","Sep-1984","IDX","Index","0","units","2010_100","2010=100",25.31743,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-10","Oct-1984","IDX","Index","0","units","2010_100","2010=100",25.55387,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-11","Nov-1984","IDX","Index","0","units","2010_100","2010=100",25.7167,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1984-12","Dec-1984","IDX","Index","0","units","2010_100","2010=100",25.82294,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-01","Jan-1985","IDX","Index","0","units","2010_100","2010=100",26.10347,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-02","Feb-1985","IDX","Index","0","units","2010_100","2010=100",26.32724,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-03","Mar-1985","IDX","Index","0","units","2010_100","2010=100",26.58196,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-04","Apr-1985","IDX","Index","0","units","2010_100","2010=100",26.78578,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-05","May-1985","IDX","Index","0","units","2010_100","2010=100",26.91118,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-06","Jun-1985","IDX","Index","0","units","2010_100","2010=100",26.95773,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-07","Jul-1985","IDX","Index","0","units","2010_100","2010=100",27.0037,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-08","Aug-1985","IDX","Index","0","units","2010_100","2010=100",27.05886,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-09","Sep-1985","IDX","Index","0","units","2010_100","2010=100",27.23947,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-10","Oct-1985","IDX","Index","0","units","2010_100","2010=100",27.46486,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-11","Nov-1985","IDX","Index","0","units","2010_100","2010=100",27.6659,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1985-12","Dec-1985","IDX","Index","0","units","2010_100","2010=100",27.77985,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-01","Jan-1986","IDX","Index","0","units","2010_100","2010=100",27.97886,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-02","Feb-1986","IDX","Index","0","units","2010_100","2010=100",28.0382,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-03","Mar-1986","IDX","Index","0","units","2010_100","2010=100",28.1039,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-04","Apr-1986","IDX","Index","0","units","2010_100","2010=100",28.21668,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-05","May-1986","IDX","Index","0","units","2010_100","2010=100",28.28622,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-06","Jun-1986","IDX","Index","0","units","2010_100","2010=100",28.38502,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-07","Jul-1986","IDX","Index","0","units","2010_100","2010=100",28.39387,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-08","Aug-1986","IDX","Index","0","units","2010_100","2010=100",28.43493,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-09","Sep-1986","IDX","Index","0","units","2010_100","2010=100",28.59864,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-10","Oct-1986","IDX","Index","0","units","2010_100","2010=100",28.77782,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-11","Nov-1986","IDX","Index","0","units","2010_100","2010=100",28.87766,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1986-12","Dec-1986","IDX","Index","0","units","2010_100","2010=100",28.9777,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-01","Jan-1987","IDX","Index","0","units","2010_100","2010=100",29.1818,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-02","Feb-1987","IDX","Index","0","units","2010_100","2010=100",29.30849,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-03","Mar-1987","IDX","Index","0","units","2010_100","2010=100",29.44819,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-04","Apr-1987","IDX","Index","0","units","2010_100","2010=100",29.62271,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-05","May-1987","IDX","Index","0","units","2010_100","2010=100",29.74471,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-06","Jun-1987","IDX","Index","0","units","2010_100","2010=100",29.7982,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-07","Jul-1987","IDX","Index","0","units","2010_100","2010=100",29.87405,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-08","Aug-1987","IDX","Index","0","units","2010_100","2010=100",29.95607,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-09","Sep-1987","IDX","Index","0","units","2010_100","2010=100",30.09193,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-10","Oct-1987","IDX","Index","0","units","2010_100","2010=100",30.30751,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-11","Nov-1987","IDX","Index","0","units","2010_100","2010=100",30.48018,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1987-12","Dec-1987","IDX","Index","0","units","2010_100","2010=100",30.75953,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-01","Jan-1988","IDX","Index","0","units","2010_100","2010=100",30.95017,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-02","Feb-1988","IDX","Index","0","units","2010_100","2010=100",31.1024,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-03","Mar-1988","IDX","Index","0","units","2010_100","2010=100",31.30661,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-04","Apr-1988","IDX","Index","0","units","2010_100","2010=100",31.55331,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-05","May-1988","IDX","Index","0","units","2010_100","2010=100",31.69654,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-06","Jun-1988","IDX","Index","0","units","2010_100","2010=100",31.80028,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-07","Jul-1988","IDX","Index","0","units","2010_100","2010=100",31.90218,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-08","Aug-1988","IDX","Index","0","units","2010_100","2010=100",32.03801,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-09","Sep-1988","IDX","Index","0","units","2010_100","2010=100",32.28699,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-10","Oct-1988","IDX","Index","0","units","2010_100","2010=100",32.51597,,
"OECDE","OECD - Europe","CPALTT01","CPI: 01-12 - All items","IXOB","Index","M","Monthly","1988-11","Nov-1988","IDX","Index","0","units","2010_100","2010=100",32.74453,,
