date;GDP;Cons;Inv;Lab;Hours;Infl;Wage;FFR;CB_Bonds;CB_Loans;CBL;CB_Bonds_10Y;BAASpread;GZSpread;ACMTP10;R10obs
1-jul-92;0.728383;0.891616205;0.71172973;0.793053352;-0.000674418;0.487341984;0.657793173;0.814166667;0;0;0;0;0.521666667;0.35085;0.987806768;1.5925
01-Oct-1992;0.775150324;0.898103335;1.926094665;0.500494502;0.00160222;0.685379345;-0.141479684;0.759166667;0;0;0;0;0.531666667;0.338641667;0.794138514;1.675
1-jan-93;-0.098222696;0.163355351;1.095167031;0.722743845;0.000868424;0.559288037;-1.298567601;0.76;0;0;0;0;0.530833333;0.347625;0.781431758;1.5075
1-apr-93;0.31834168;0.419038281;1.030121617;1.30484124;0.003368974;0.592564055;0.135295421;0.75;0;0;0;0;0.5375;0.3383;0.643745146;1.45
1-jul-93;0.217670744;0.683120248;-0.235561939;1.697892706;0.000903601;0.593413277;-0.549643354;0.765;0;0;0;0;0.501666667;0.338758333;0.536384611;1.35
01-Oct-1993;1.09719134;0.423694082;3.609646065;1.976575571;0.001765979;0.543883389;0.187845687;0.7475;0;0;0;0;0.486666667;0.323758333;0.593933973;1.4575
1-jan-94;0.714689059;0.608690849;2.886817331;2.320828717;-0.001338753;0.476526285;-1.048562546;0.803333333;0;0;0;0;0.445;0.294058333;0.67089507;1.6925
1-apr-94;1.094015101;0.548187931;3.271312534;2.947590582;0.006473391;0.481391678;0.341533673;0.985;0;0;0;0;0.378333333;0.304658333;0.68710859;1.835
1-jul-94;0.32998513;0.610508433;-0.965767841;3.320366835;0.00013502;0.572644033;-0.600908323;1.121666667;0;0;0;0;0.376666667;0.293916667;0.639233779;1.905
01-Oct-1994;0.910980835;0.464956361;3.35292001;3.968547486;-0.001553837;0.541202562;0.235974243;1.291666667;0;0;0;0;0.3425;0.3075;0.486548709;1.96
1-jan-95;0.130467591;0.332419188;-0.276251697;3.870691022;-0.004152175;0.539690988;0.049478237;1.4525;0;0;0;0;0.348333333;0.308975;0.475002703;1.8
1-apr-95;0.075881241;0.831185308;-1.625898855;2.987729186;-0.005524177;0.479617226;0.33684986;1.505;0;0;0;0;0.403333333;0.317183333;0.362115089;1.5525
1-jul-95;0.626275484;0.429855372;0.054745716;3.108172371;0.005378684;0.491210016;0.060424216;1.449166667;0;0;0;0;0.4325;0.311975;0.32999114;1.5425
01-Oct-1995;0.438981486;0.361140054;1.396096053;3.00278;-0.000378382;0.480520495;0.332172882;1.43;0;0;0;0;0.436666667;0.34205;0.273340889;1.395
1-jan-96;0.49625058;0.789088154;0.65858582;2.619846088;-0.00516611;0.480972241;0.611638256;1.340833333;0;0;0;0;0.45;0.326408333;0.426042356;1.585
1-apr-96;1.398926694;0.958792845;3.203991437;3.437491325;0.003097033;0.412971439;0.507522167;1.310833333;0;0;0;0;0.394166667;0.306366667;0.438433364;1.6825
1-jul-96;0.630119998;0.525271222;2.189522429;4.109198474;0.001855567;0.326697166;0.438678379;1.326666667;0;0;0;0;0.378333333;0.309716667;0.447280951;1.68
01-Oct-1996;0.706776649;0.610736439;-0.120369718;4.367914183;0.00190057;0.533537851;0.034475107;1.32;0;0;0;0;0.393333333;0.316266667;0.369525813;1.6075
1-jan-97;0.32674188;0.45919275;1.739262489;4.562203782;0.000774706;0.594148254;0.553158745;1.319166667;0;0;0;0;0.376666667;0.299391667;0.43143829;1.73
1-apr-97;1.336837178;0.479256575;2.09211259;5.099295057;-0.000900652;0.202205456;0.706600578;1.380833333;0;0;0;0;0.3725;0.287558333;0.377372688;1.6275
1-jul-97;0.938093137;0.959442993;1.902879536;5.554602891;0.001007127;0.432691691;0.570342943;1.383333333;0;0;0;0;0.378333333;0.287441667;0.326691081;1.53
01-Oct-1997;0.609202325;0.857324724;0.851794991;5.733743052;-0.001530459;0.327972289;1.465926679;1.376666667;0;0;0;0;0.3825;0.324358333;0.206898576;1.4375
1-jan-98;0.741448604;0.755702552;2.427773044;5.596798167;0.000872068;0.145569181;1.531065061;1.38;0;0;0;0;0.416666667;0.330008333;0.216041202;1.4175
1-apr-98;0.662704603;1.091674832;0.114935746;5.412080023;-0.001589671;0.235932475;1.013520877;1.375;0;0;0;0;0.414166667;0.308558333;0.174490665;1.36
1-jul-98;0.980918397;0.844551833;1.77868583;5.383451254;-0.003206408;0.429113935;1.189955984;1.383333333;0;0;0;0;0.480833333;0.453275;0.149132054;1.11
01-Oct-1998;1.300655433;0.607847287;3.130577896;5.728212884;0.007359427;0.275361917;0.285096218;1.215;0;0;0;0;0.645;0.512566667;0.188821562;1.1625
1-jan-99;0.635179809;0.833800591;1.240057675;5.621130845;-0.003425721;0.376071752;1.385309623;1.183333333;0;0;0;0;0.605;0.444016667;0.307167059;1.3125
