date,gz_spread,ebp,est_prob
APR2014,1.6244,-0.4414,0.0868101421
MAY2014,1.6267,-0.4625,0.0827601635
JUN2014,1.5933,-0.3899,0.0973237656
JUL2014,1.6506,-0.4144,0.0921974655
AUG2014,1.6500,-0.4198,0.091116648
SEP2014,1.7928,-0.3252,0.1117855925
OCT2014,1.8968,-0.3204,0.1129225758
NOV2014,2.0495,-0.0470,0.1913052582
DEC2014,2.1383,-0.0622,0.1862110426
JAN2015,2.2080,-0.2286,0.1361971359
FEB2015,1.9643,-0.4789,0.0797154869
MAR2015,2.0797,-0.2933,0.1194877653
APR2015,2.0387,-0.1231,0.1667118607
MAY2015,2.0386,-0.0703,0.1835587921
JUN2015,2.1732,0.0572,0.2283456365
JUL2015,2.3224,0.1199,0.2524218371
AUG2015,2.4371,0.3172,0.3361497987
SEP2015,2.6443,0.4466,0.3962798201
OCT2015,2.4239,0.3374,0.3453454393
NOV2015,2.4726,0.4182,0.382815196
DEC2015,2.6838,0.5877,0.464724152
JAN2016,3.0716,0.8097,0.5737222302
FEB2016,3.0834,0.8419,0.5892551824
MAR2016,2.6716,0.4922,0.4181747082
APR2016,2.3969,0.1551,0.2665415413
MAY2016,2.3605,0.1567,0.2671765689
JUN2016,2.4549,-0.0587,0.1873639444
JUL2016,2.2645,-0.1117,0.170276047
AUG2016,2.0617,-0.0945,0.1757103775
SEP2016,2.0464,-0.1679,0.1532556896
OCT2016,1.8778,-0.1427,0.1607491971
NOV2016,1.7926,-0.8830,0.0282901656
DEC2016,1.6649,-0.3008,0.1176301743
JAN2017,1.6265,-0.2539,0.1294769916
FEB2017,1.5763,-0.2604,0.12777892
MAR2017,1.6153,-0.2465,0.1314081206
APR2017,1.6005,-0.1893,0.1470811099
MAY2017,1.5692,-0.2417,0.132669435
JUN2017,1.5432,-0.2020,0.1434992247
JUL2017,1.4897,-0.2219,0.1380111351
AUG2017,1.6057,-0.1563,0.1566618357
SEP2017,1.4856,-0.3519,0.1056361287
OCT2017,1.4192,-0.2928,0.1196010131
NOV2017,1.4295,-0.2152,0.1398272167
DEC2017,1.3932,-0.2870,0.1210370641
JAN2018,1.2592,-0.4985,0.0761733547
FEB2018,1.3540,-0.3259,0.1116413848
MAR2018,1.5162,-0.1880,0.1474442901
APR2018,1.4311,-0.3849,0.0983815178
MAY2018,1.5184,-0.2954,0.118958974
JUN2018,1.6034,-0.0670,0.1846316219
JUL2018,1.4679,-0.2242,0.1373656256
